issue_key,summary,description,issue_type,status,priority,resolution,created,updated,assignee,reporter,components,labels,comments,parent
YARN-5702,Refactor TestPBImplRecords so that we can reuse for testing protocol records in other YARN modules,The {{TestPBImplRecords}} has generic helper methods to validate YARN api records. This JIRA proposes to refactor the generic helper methods into a base class that can then be reused by other YARN modules for testing internal API protocol records like in yarn-server-common for Federation (YARN-2915). ,Sub-task,Resolved,Major,Fixed,2016-10-03T22:01:18.296+0000,2016-10-06T00:22:45.532+0000,Subramaniam Krishnan,Subramaniam Krishnan,[],[],7,YARN-2915
YARN-5715,introduce entity prefix for return and sort order,"While looking into YARN-5585, we have come across the need to provide a sort order different than the current entity id order. The current entity id order returns entities strictly in the lexicographical order, and as such it returns the earliest entities first. This may not be the most natural return order. A more natural return/sort order would be from the most recent entities.

To solve this, we would like to add what we call the ""entity prefix"" in the row key for the entity table. It is a number (long) that can be easily provided by the client on write. In the row key, it would be added before the entity id itself.

The entity prefix would be considered mandatory. On all writes (including updates) the correct entity prefix should be set by the client so that the correct row key is used. The entity prefix needs to be unique only within the scope of the application and the entity type.

For queries that return a list of entities, the prefix values will be returned along with the entity id's. Queries that specify the prefix and the id should be returned quickly using the row key. If the query omits the prefix but specifies the id (query by id), the query may be less efficient.

This JIRA should add the entity prefix to the entity API and add its handling to the schema and the write path. The read path will be addressed in YARN-5585.",Sub-task,Resolved,Critical,Fixed,2016-10-06T22:41:12.673+0000,2017-10-21T06:05:19.091+0000,Rohith Sharma K S,Sangjin Lee,['timelineserver'],['oct16-easy'],42,YARN-5355
YARN-5708,Implement APIs to get resource profiles from the RM,Implement a set of APIs to get the available resource profiles from the RM.,Sub-task,Resolved,Major,Fixed,2016-10-04T14:36:35.510+0000,2017-09-12T16:34:01.633+0000,Varun Vasudev,Varun Vasudev,['client'],[],17,YARN-3926
YARN-5699,Retrospect yarn entity fields which are publishing in events info fields.,"Currently, all the container information are published at 2 places. Some of them are at entity info(top-level) and some are  at event info. 

For containers, some of the event info should be published at container info level. For example : container exist status, container state, createdTime, finished time. These are general information to container required for container-report. So it is better to publish at top level info field. ",Sub-task,Resolved,Major,Fixed,2016-10-03T10:50:32.709+0000,2017-10-21T06:05:37.836+0000,Rohith Sharma K S,Rohith Sharma K S,[],[],51,YARN-5355
YARN-5692,Support more application timeout types,"YARN-4205 adds up general framework to monitor application for its timeout. And it support for monitoring application for its lifetime i.e monitoring start from submitted_time. 

Some users might need to monitor application for different phases. Say, some users wants monitor from launched, some are required after registration and so on. Specific use cases are mentioned in [comment|https://issues.apache.org/jira/browse/YARN-4205?focusedCommentId=15525225&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-15525225] by [~gsaha] which need to address as part of this JIRA.

This JIRA is open for discussing more use cases and try to solve those.",Improvement,Open,Major,,2016-09-29T15:10:34.530+0000,2017-10-30T07:13:03.391+0000,Rohith Sharma K S,Rohith Sharma K S,['resourcemanager'],[],1,
YARN-5683,Support specifying storage type for per-application local dirs,"h3.  Introduction
* Some applications of various frameworks (Flink, Spark and MapReduce etc) using local storage (checkpoint, shuffle etc) might require high IO performance. It's useful to allocate local directories to high performance storage media for these applications on heterogeneous clusters.
* YARN does not distinguish different storage types and hence applications cannot selectively use storage media with different performance characteristics. Adding awareness of storage media can allow YARN to make better decisions about the placement of local directories.

h3.  Approach
* NodeManager will distinguish storage types for local directories.
** yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs configuration should allow the cluster administrator to optionally specify the storage type for each local directories. Example: [SSD]/disk1/nm-local-dir,/disk2/nm-local-dir,/disk3/nm-local-dir (equals to [SSD]/disk1/nm-local-dir,[DISK]/disk2/nm-local-dir,[DISK]/disk3/nm-local-dir)
** StorageType defines DISK/SSD storage types and takes DISK as the default storage type. 
** StorageLocation separates storage type and directory path, used by LocalDirAllocator to aware the types of local dirs, the default storage type is DISK.
** getLocalPathForWrite method of LocalDirAllcator will prefer to choose the local directory of the specified storage type, and will fallback to not care storage type if the requirement can not be satisfied.
** Support for container related local/log directories by ContainerLaunch. All application frameworks can set the environment variables (LOCAL_STORAGE_TYPE and LOG_STORAGE_TYPE) to specified the desired storage type of local/log directories, and choose to not launch container if fallback through these environment variables (ENSURE_LOCAL_STORAGE_TYPE and ENSURE_LOG_STORAGE_TYPE).
* Allow specified storage type for various frameworks (Take MapReduce as an example)
** Add new configurations should allow application administrator to optionally specify the storage type of local/log directories and fallback strategy (MapReduce configurations: mapreduce.job.local-storage-type, mapreduce.job.log-storage-type, mapreduce.job.ensure-local-storage-type and mapreduce.job.ensure-log-storage-type).
** Support for container work directories. Set the environment variables includes LOCAL_STORAGE_TYPE and LOG_STORAGE_TYPE according to configurations above for ContainerLaunchContext and ApplicationSubmissionContext. (MapReduce should update YARNRunner and TaskAttemptImpl)
** Add storage type prefix for request path to support for other local directories of frameworks (such as shuffle directories for MapReduce). (MapReduce should update YarnOutputFiles, MROutputFiles and YarnChild to support for output/work directories)
** Flow diagram for MapReduce framework
!flow_diagram_for_MapReduce-2.png!

h3.  Further Discussion
* Scheduling : The requirement of storage type for local/log directories may not be satisfied for a part of nodes on heterogeneous clusters. To achieve global optimum, scheduler should aware and manage disk resources. 
** Approach-1: Based on node attributes (YARN-3409), Scheduler can allocate containers which have SSD requirement on nodes with attribute:ssd=true.
** Approach-2: Based on extended resource model (YARN-3926), it's easy to support scheduling through extending resource models like vdisk and vssd using this feature, but hard to measure for applications and isolate for non-CFQ based disks.
* Fallback strategy still needs to be concerned. Certain applications might not work well when the requirement of storage type is not satisfied. When none of desired storage type disk are available, should container launching be failed? let AM handle? We have implemented a fallback strategy that fail to launch container when none of desired storage type disk are available. Is there some better methods? 

This feature has been used for half a year to meet the needs of some applications on Alibaba search clusters.
Please feel free to give your suggestions and opinions.",New Feature,Patch Available,Major,,2016-09-28T11:11:47.529+0000,2026-02-12T22:20:38.779+0000,Tao Yang,Tao Yang,['nodemanager'],['oct16-hard'],16,
YARN-5681,Change collector discovery to support collectors mapped to clients but not applications,"As discussed in YARN-3981, we need the service discovery mechanism to map collectors with their actual ""ids"", which may or may not be a concrete application Id. This JIRA proposes to generalize the concept of collector id in collector service discovery mechanism. ",Sub-task,Open,Major,,2016-09-27T22:17:09.321+0000,2019-08-30T06:26:23.920+0000,Li Lu,Li Lu,['timelineserver'],[],3,YARN-9802
YARN-5677,RM should transition to standby when connection is lost for an extended period,"In trunk, there is no maximum number of retries that I see.  It appears the connection will be retried forever, with the active never figuring out it's no longer active.  In my testing, the active-active state lasted almost 2 hours with no sign of stopping before I killed it.  The solution appears to be to cap the number of retries or amount of time spent retrying.

This issue is significant because of the asynchronous nature of job submission.  If the active doesn't know it's not active, it will buffer up job submissions until it finally realizes it has become the standby. Then it will fail all the job submissions in bulk. In high-volume workflows, that behavior can create huge mass job failures.

This issue is also important because the node managers will not fail over to the new active until the old active realizes it's the standby.  Workloads submitted after the old active loses contact with ZK will therefore fail to be executed regardless of which RM the clients contact.",Bug,Resolved,Critical,Fixed,2016-09-26T21:47:57.981+0000,2017-01-06T08:00:23.394+0000,Daniel Templeton,Daniel Templeton,['resourcemanager'],[],31,
YARN-5648,[ATSv2 Security] Client side changes for authentication,,Sub-task,Resolved,Major,Fixed,2016-09-14T04:31:52.659+0000,2017-10-21T06:05:20.122+0000,Varun Saxena,Varun Saxena,['timelineserver'],['yarn-5355-merge-blocker'],14,YARN-5355
YARN-5673,"[Umbrella] Re-write container-executor to improve security, extensibility, and portability","As YARN adds support for new features that require administrator privileges(such as support for network throttling and docker), we’ve had to add new capabilities to the container-executor. This has led to a recognition that the current container-executor security features as well as the code could be improved. The current code is fragile and it’s hard to add new features without causing regressions. Some of the improvements that need to be made are -

*Security*

Currently the container-executor has limited security features. It relies primarily on the permissions set on the binary but does little additional security beyond that. There are few outstanding issues today -

- No audit log
- No way to disable features - network throttling and docker support are built in and there’s no way to turn them off at a container-executor level
- Code can be improved - a lot of the code switches users back and forth in an arbitrary manner
- No input validation - the paths, and files provided at invocation are not validated or required to be in some specific location
- No signing functionality - there is no way to enforce that the binary was invoked by the NM and not by any other process

*Code Issues*

The code layout and implementation themselves can be improved. Some issues there are -

- No support for log levels - everything is logged and this can’t be turned on or off
- Extremely long set of invocation parameters(specifically during container launch) which makes turning features on or off complicated
- Poor test coverage - it’s easy to introduce regressions today due to the lack of a proper test setup
- Duplicate functionality - there is some amount of code duplication
- Hard to make improvements or add new features due to the issues raised above

*Portability*

 - The container-executor mixes platform dependent APIs with platform independent APIs making it hard to run it on multiple platforms. Allowing it to run on multiple platforms also improves the overall code structure .

One option is to improve the existing container-executor, however it might be easier to start from scratch. That allows existing functionality to be supported until we are ready to switch to the new code.

This umbrella JIRA is to capture all the work required for the new code. I'm going to work on a design doc for the changes - any suggestions or improvements are welcome.",New Feature,Open,Major,,2016-09-26T14:08:12.598+0000,2017-11-17T18:55:49.512+0000,Varun Vasudev,Varun Vasudev,['nodemanager'],[],12,
YARN-5668,Support content-type: application/json in RM's /conf endpoint,"- Right now all requests send to RM's /conf endpoint is responded with xml data. Would be great if the endpoint checks the request headers, and return data in JSON format for content-type: application/json.
- This would make accessing configurations from web UIs easier. Else it would add an extra UI dependency on any of the xml libraries.",Improvement,Open,Major,,2016-09-26T08:13:31.246+0000,2016-09-26T12:13:48.039+0000,,Sreenath Somarajapuram,[],[],1,
YARN-5667,Move HBase backend code in ATS v2  into its separate module,"The HBase backend code currently lives along with the core ATS v2 code in hadoop-yarn-server-timelineservice module. Because Resource Manager depends on hadoop-yarn-server-timelineservice, an unnecessary dependency of the RM module on HBase modules is introduced (HBase backend is pluggable, so we do not need to directly pull in HBase jars). 

In our internal effort to try ATS v2 with HBase 2.0 which depends on Hadoop 3, we encountered a circular dependency during our builds between HBase2.0 and Hadoop3 artifacts.
{code}
hadoop-mapreduce-client-common, hadoop-yarn-client, hadoop-yarn-server-resourcemanager, hadoop-yarn-server-timelineservice, hbase-server, hbase-prefix-tree, hbase-hadoop2-compat, hadoop-mapreduce-client-jobclient, hadoop-mapreduce-client-common]
{code}


This jira proposes we move all HBase-backend-related code from hadoop-yarn-server-timelineservice into its own module (possible name is yarn-server-timelineservice-storage) so that core RM modules do not depend on HBase modules any more.",Task,Resolved,Blocker,Done,2016-09-26T03:29:00.562+0000,2017-01-20T17:55:20.598+0000,Haibo Chen,Haibo Chen,['yarn'],[],37,
YARN-5658,YARN should have a hook to delete a path from HDFS when an application ends,"There are many cases when a client uploads data to HDFS and then needs to subsequently clean it up, such as with the distributed cache.  It would be helpful if YARN would do that cleanup automatically on job completion.

The hook could be generic to an URI supported by {{FileSystem}}.",Improvement,Open,Major,,2016-09-19T21:55:32.893+0000,2016-12-27T23:31:12.019+0000,Daniel Templeton,Daniel Templeton,['resourcemanager'],[],6,
YARN-5644,Define exit code for allowing NodeManager health script to mar,"Done as a alternate design to YARN-5567.  Define a specific exit code for the health checker script (property yarn.nodemanager.health-checker.script.path) that allows the node to be blacklisted.

As discussed in the latter part of YARN-5567, the current design requirements are:
# Ignore all exit codes from the script
## _except_ the newly defined error code which will mark the NodeManager as UNHEALTHY
## This allows any syntax or functional errors in the script to be ignored
# Upon failure (or multiple recorded failures):
## Store the status in the metrics2 state on the NodeManager
## Allow the RM to blacklist the NM or allow the jobs to drain",Sub-task,Resolved,Major,Duplicate,2016-09-13T16:06:52.706+0000,2016-09-13T17:23:17.197+0000,Yufei Gu,Ray Chiang,['nodemanager'],['supportability'],1,YARN-5078
YARN-5638,Introduce a collector timestamp to uniquely identify collectors creation order in collector discovery,"As discussed in YARN-3359, we need to further identify timeline collectors' creation order to rebuild collector discovery data in the RM. This JIRA proposes to use <rm_timestamp, logical_version_number> to order collectors for each application in the RM. This timestamp can then be used when a standby RM becomes active and rebuild collector discovery data. ",Sub-task,Resolved,Major,Fixed,2016-09-12T20:52:59.219+0000,2017-10-21T06:05:53.861+0000,Li Lu,Li Lu,['timelineserver'],[],27,YARN-5355
YARN-5637,Changes in NodeManager to support Container rollback and commit,"YARN-5620 added support for re-initialization of Containers using a new launch Context.
This JIRA proposes to use the above feature to support upgrade and subsequent rollback or commit of the upgrade.",Sub-task,Resolved,Major,Fixed,2016-09-12T15:59:07.859+0000,2016-09-18T18:20:34.733+0000,Arun Suresh,Arun Suresh,[],[],20,YARN-4726
YARN-5606,Support multi-label merge into one node label,"Support multi-label merge into one node label
1. we want to support multo-label like SSD,GPU,FPGA label merged into single machine, joined by &. like SSD,GPU,FPGA-> SSD&GPU&FPGA
2. we add wildcard match to extend the job request. we define the wildcard like *GPU*, it will math all the node labels with GPU as part of multi-label merged label. For example, *GPU* will match  SSD&GPU&FPGA, GPU&FPGA. We define  SSD&GPU&FPGA={SSD,GPU,FPGA}, and GPU is one of {SSD,GPU,FPGA}, so the job can run on  SSD&GPU&FPGA node.",New Feature,Patch Available,Major,,2016-08-31T15:08:41.429+0000,2017-05-09T18:01:02.650+0000,,jialei weng,['resourcemanager'],['oct16-hard'],8,
YARN-5636,Support reserving resources on certain nodes for certain applications,"We have met such circumstance:
We are trying to run storm&kafka on yarn by Slider, and Storm&Kafka writes data to local disk on node. If some containers or the application fails, we expect that those containers would restart on the same node as they run before, otherwise data written on local would lost.
For slider, it will trying to ensure restarted container on same nodes as before. However for yarn, resource may be assigned to other applications when former long-running application is down.
As a result we'd better to have a mechanism that reserve some resource for certain long-running applications on certain nodes for a period of time. Does it make sense?",Improvement,Open,Major,,2016-09-12T02:35:38.605+0000,2017-12-12T07:39:45.876+0000,,Tao Jie,['scheduler'],[],2,
YARN-5634,Simplify initialization/use of RouterPolicy via a RouterPolicyFacade ,"The current set of policies require some machinery to (re)initialize based on changes in the SubClusterPolicyConfiguration. This JIRA tracks the effort to hide much of that behind a simple RouterPolicyFacade, making lifecycle and usage of the policies easier to consumers.",Sub-task,Resolved,Major,Fixed,2016-09-10T00:16:35.521+0000,2017-09-25T21:26:56.917+0000,Carlo Curino,Carlo Curino,"['nodemanager', 'resourcemanager']",['oct16-medium'],25,YARN-2915
YARN-5629,Persist collector discovery information to support RM HA,"As discussed in YARN-3039, we deliberately delayed the work to persist collector discovery information. However, this feature becomes a blocker if we want to run timeline v2 on a HAed cluster. ",Sub-task,Resolved,Major,Duplicate,2016-09-08T23:01:58.065+0000,2016-09-09T18:09:49.084+0000,Li Lu,Li Lu,['timelineserver'],[],2,YARN-5355
YARN-5627,[Atsv2] Support streaming reader API to fetch entities,"There is no limit for size of TimelineEntitie object. It can be varied from KB's to MB. While reading entities list, it would be an potential issue that TimeLineReder would go into OOM situation based on the entity size and limit. 

Proposal is to support an streaming API to read entities list. ",Sub-task,Open,Major,,2016-09-08T08:16:02.422+0000,2019-08-30T06:39:30.432+0000,,Rohith Sharma K S,['timelinereader'],[],5,YARN-9802
YARN-5626,Support long running apps handling multiple flows,"Many applications which can potentially use ATS have one or a few long running AMs' which handle multiple tasks or serve multiple queries. As ATS scopes everything within an app, its not possible for us to differentiate different flows.
Moreover, all entities will be written to one or very few node collectors as writers are distributed based on app",Sub-task,Open,Major,,2016-09-08T04:17:47.998+0000,2019-08-30T06:26:28.655+0000,Varun Saxena,Varun Saxena,['timelineserver'],[],6,YARN-9802
YARN-5605,Preempt containers (all on one node) to meet the requirement of starved applications,"Required items:
# Identify starved applications
# Identify a node that has enough containers from applications over their fairshare.
# Preempt those containers",Sub-task,Resolved,Major,Fixed,2016-08-31T03:51:40.577+0000,2016-11-03T04:00:39.144+0000,Karthik Kambatla,Karthik Kambatla,['fairscheduler'],[],50,YARN-4752
YARN-5619,Provide way to limit MRJob's stdout/stderr size,"We can run job with huge amount of stdout/stderr and causing undesired consequence. There is already a Jira which is been open for while now:
https://issues.apache.org/jira/browse/YARN-2231

The possible solution is to redirect Stdout's and Stderr's output to log4j in YarnChild.java main method via commands:

System.setErr( new PrintStream( new LoggingOutputStream( <Log4j logger>, Level.ERROR ), true));
System.setOut( new PrintStream( new LoggingOutputStream( <Log4j logger>, Level.INFO ), true));

In this case System.out and System.err will be redirected to log4j logger with appropriate appender that will direct output to stderr or stdout files with needed size limitation. 


Advantages of such solution:
- it allows us to restrict file sizes during job execution.

Disadvantages:
- It will work only for MRs jobs.
- logs are stored in memory and are flushed on disk only after job's finishing (syslog works the same way) - we can loose logs if container will be killed or failed.

Is it appropriate solution for solving this problem, or is there something better?

",Improvement,Resolved,Minor,Duplicate,2016-09-06T13:44:14.608+0000,2016-09-14T15:19:51.383+0000,,Aleksandr Balitsky,"['log-aggregation', 'nodemanager']",[],0,
YARN-5618,Support for Intra queue preemption framework,"Currently inter-queue preemption framework covers the basics (configs and scheduling monitor interval etc). This new framework will come as new CandidateSelector policy. Priority and user-limit will be a part of this framework.

This is a tracking jira for the framework impl alone.",Sub-task,Resolved,Major,Done,2016-09-06T05:44:47.393+0000,2016-11-02T17:06:15.861+0000,Sunil G,Sunil G,['capacityscheduler'],[],2,YARN-4945
YARN-5612,Return SubClusterId in FederationStateStoreFacade#addApplicationHomeSubCluster for Router Failover,"This JIRA tracks the returning of SubClusterId from FederationStateStoreFacade#addApplicationHomeSubCluster. 
in the design of [YARN-3659|https://issues.apache.org/jira/browse/YARN-3659], to handle better fail-over scenario the response needs SubClusterId. This is bubbling up the change in YARN-5519.",Sub-task,Resolved,Major,Fixed,2016-09-01T18:56:04.937+0000,2017-09-25T21:26:52.102+0000,Giovanni Matteo Fumarola,Giovanni Matteo Fumarola,"['nodemanager', 'resourcemanager']",[],3,YARN-2915
YARN-5611,Provide an API to update lifetime of an application.,"YARN-4205 monitors an Lifetime of an applications is monitored if required. 
Add an client api to update lifetime of an application. ",Sub-task,Resolved,Major,Fixed,2016-09-01T16:35:03.063+0000,2016-12-07T05:41:02.048+0000,Rohith Sharma K S,Rohith Sharma K S,['resourcemanager'],['oct16-hard'],59,YARN-3813
YARN-5593,[Umbrella] Add support for YARN Allocation composed of multiple containers/processes,"Opening this to explicitly call out and track some of the ideas that were discussed in YARN-1040. Specifically the concept of an {{Allocation}} which can be used by an AM to start multiple {{Containers}} against as long as the sum of resources used by all containers {{fitsIn()}} the Resources leased to the {{Allocation}}.
This is especially useful for AMs that might want to target certain operations (like upgrade / restart) on specific containers / processes within an Allocation without fear of losing the allocation.",Improvement,Open,Major,,2016-08-30T14:59:01.813+0000,2017-12-24T17:41:35.735+0000,Arun Suresh,Arun Suresh,[],[],3,
YARN-5590,Add support for increase and decrease of container resources with resource profiles,,Sub-task,Patch Available,Major,,2016-08-30T14:08:57.647+0000,2018-07-12T20:59:16.374+0000,Manikandan R,Varun Vasudev,"['nodemanager', 'resourcemanager']",[],12,YARN-7069
YARN-5587,Add support for resource profiles,Add support for resource profiles on the RM side to allow users to use shorthands to specify resource requirements.,Sub-task,Resolved,Major,Fixed,2016-08-30T14:07:22.959+0000,2019-08-30T02:34:11.279+0000,Varun Vasudev,Varun Vasudev,"['nodemanager', 'resourcemanager']",['oct16-hard'],40,YARN-3926
YARN-5585,[Atsv2] Reader side changes for entity prefix and support for pagination via additional filters,"TimelineReader REST API's provides lot of filters to retrieve the applications. Along with those, it would be good to add new filter i.e fromId so that entities can be retrieved after the fromId. 

Current Behavior : Default limit is set to 100. If there are 1000 entities then REST call gives first/last 100 entities. How to retrieve next set of 100 entities i.e 101 to 200 OR 900 to 801?
Example : If applications are stored database, app-1 app-2 ... app-10.
*getApps?limit=5* gives app-1 to app-5. But to retrieve next 5 apps, there is no way to achieve this. 

So proposal is to have fromId in the filter like *getApps?limit=5&&fromId=app-5* which gives list of apps from app-6 to app-10. 

Since ATS is targeting large number of entities storage, it is very common use case to get next set of entities using fromId rather than querying all the entites. This is very useful for pagination in web UI.",Sub-task,Resolved,Critical,Fixed,2016-08-30T13:00:35.465+0000,2017-10-21T06:05:24.125+0000,Rohith Sharma K S,Rohith Sharma K S,['timelinereader'],['yarn-5355-merge-blocker'],137,YARN-5355
YARN-5556,CapacityScheduler: Support deleting queues without requiring a RM restart,"Today, we could add or modify queues without restarting the RM, via a CS refresh. But for deleting queue, we have to restart the ResourceManager. We could support for deleting queues without requiring a RM restart",Sub-task,Resolved,Major,Fixed,2016-08-23T20:49:50.534+0000,2017-06-25T12:45:31.550+0000,Naganarasimha G R,Xuan Gong,['capacity scheduler'],[],48,YARN-5724
YARN-5547,NMLeveldbStateStore should be more tolerant of unknown keys,"Whenever new keys are added to the NM state store it will break rolling downgrades because the code will throw if it encounters an unrecognized key.  If instead it skipped unrecognized keys it could be simpler to continue supporting rolling downgrades.  We need to define the semantics of unrecognized keys when containers and apps are cleaned up, e.g.: we may want to delete all keys underneath an app or container directory when it is being removed from the state store to prevent leaking unrecognized keys.",Improvement,Resolved,Major,Fixed,2016-08-22T15:22:55.511+0000,2019-10-25T20:27:01.060+0000,Ajith S,Jason Darrell Lowe,['nodemanager'],[],44,
YARN-5541,Handling of opportunistic containers in the NM,"I am creating this JIRA in order to group all tasks related to the management of opportunistic containers in the NMs, such as the queuing of containers, the pausing of containers and the prioritization of queued containers.",New Feature,Open,Major,,2016-08-19T21:25:44.015+0000,2016-11-15T18:24:23.903+0000,,Konstantinos Karanasos,[],[],1,
YARN-5532,Make ResourceLocalizationService inside NodeManager independent of containers,"The goal is to enable NodeManagers to localize resources while container is running. Today, resource-localization is always the first step before starting a container. It will be useful if YARN can localize the resources continuously even while container is running.",New Feature,Reopened,Major,,2016-08-17T05:08:24.290+0000,2016-08-25T14:13:34.157+0000,Jian He,Jian He,[],[],7,
YARN-5531,UnmanagedAM pool manager for federating application across clusters,One of the main tenets the YARN Federation is to *transparently* scale applications across multiple clusters. This is achieved by running UAMs on behalf of the application on other clusters. This JIRA tracks the addition of a UnmanagedAM pool manager for federating application across clusters which will be used the FederationInterceptor (YARN-3666) which is part of the AMRMProxy pipeline introduced in YARN-2884.,Sub-task,Resolved,Major,Fixed,2016-08-17T01:28:06.093+0000,2017-09-25T21:27:00.643+0000,Botong Huang,Subramaniam Krishnan,"['nodemanager', 'resourcemanager']",[],36,YARN-2915
YARN-5520,[Capacity Scheduler] Change the logic for when to trigger user/group mappings to queues,"In YARN-2411, the feature in Capacity Scheduler to support user/group based mappings to queues was introduced.
In the original implementation, the configuration key {{yarn.scheduler.capacity.queue-mappings-override.enable}} was added to control when to enable overriding user requested queues.
However, even if this configuration is set to false, queue overriding could still happen if the user didn't request for any specific queue or choose to simply submit his job to ""default"" queue, according to the following if condition which triggers queue overriding:
{code}
if (queueName.equals(YarnConfiguration.DEFAULT_QUEUE_NAME)
              || overrideWithQueueMappings)
{code}

This logic does not seem very reasonable, as there's no way to fully disable queue overriding when mappings are configured inside capacity-scheduler.xml.

In addition, in our environment, we have setup a few organization dedicated queues as well as some ""adhoc"" queues. The organization dedicated queues have better resource guarantees and we want to be able to route users to the corresponding organization queues. On the other hand, the ""adhoc"" queues have less resource guarantees but everyone can use it to get some opportunistic resources when the cluster is free.
The current logic will also prevent this type of use cases as when you enable queue overriding, users cannot use these ""adhoc"" queues any more. They will always be routed to the dedicated organization queues.

To address the above 2 issues, I propose to change the implementation so that:
* Admin can fully disable queue overriding even if mappings are already configured.
* Admin have finer grained control to cope queue overriding with the above mentioned organization/adhoc queue setups.",Improvement,Open,Major,,2016-08-13T00:37:09.386+0000,2018-08-30T21:44:42.839+0000,Jonathan Hung,Min Shen,[],[],7,
YARN-5519,Add SubClusterId in AddApplicationHomeSubClusterResponse for Router Failover,"This JIRA tracks the addition of SubClusterId into AddApplicationHomeSubClusterResponse. 
in the design of [YARN-3659|https://issues.apache.org/jira/browse/YARN-3659], to handle better fail-over scenario the response needs SubclusterId as field.",Sub-task,Resolved,Major,Fixed,2016-08-13T00:09:40.096+0000,2017-09-25T21:27:01.523+0000,Ellen Hui,Giovanni Matteo Fumarola,"['nodemanager', 'resourcemanager']",[],12,YARN-2915
YARN-5518,add HTTP_AND_HTTPS policy support in WebApps,"This JIRA tracks changes to WebApps and web services/clients to support HTTP_AND_HTTPS policy.

Currently WebApps/WebServers in Hadoop only supports HTTP_ONLY and HTTPS_ONLY policies. This means that there will be a service interruption when the policy is changed from HTTP_ONLY to HTTPS_ONLY.

The reason for this limitation is that org.apache.hadoop.yarn.webapp.WebApps only supports one endpoint. However, the http server behind it does support multiple endpoints. If support for multiple endpoints are added in WebApps, we can add both HTTP and HTTPS endpoints to support HTTP_AND_HTTPS policy. 

With this feature, switching from HTTP to HTTPS without service interruption will be possible with the following two configuration changes:

1a. Changing policy from HTTP_ONLY to HTTP_AND_HTTPS;

(1b. Update client code to use HTTPS)

2. Changing policy form HTTP_AND_HTTPS to HTTPS_ONLY;
",Improvement,Open,Major,,2016-08-12T23:46:12.393+0000,2019-08-29T07:23:28.437+0000,,Eric Feng,"['api', 'resourcemanager', 'webapp']",[],1,
YARN-5517,Add GPU as a resource type for scheduling,"Currently YARN only support scheduling based on memory and cpu.
There is the issue(YARN-3926) which proposed to extend the YARN resource model.
And there is the issue(YARN-4122) to add support for GPU as a resource  using docker.

But these issues didn’t release yet so I just added GPU resource type like memory and cpu.
I don’t consider GPU isolation like YARN-4122.

The properties for GPU resource type is similar to cpu core.

mapred-default.xml
mapreduce.map.gpu.cores (default 0)
mapreduce.reduce.gpu.cores	(default 0)
yarn.app.mapreduce.am.resource.gpu-cores (default 0)

yarn-default.xml
yarn.scheduler.minimum-allocation-gcores (default 0)	
yarn.scheduler.maximum-allocation-gcores (default 8)
yarn.nodemanager.resource.gcores (default 0)

I attached the patch for branch-2.7.1",Improvement,Resolved,Major,Duplicate,2016-08-12T07:22:24.790+0000,2018-06-18T05:55:35.244+0000,,Jaeboo Jeong,['scheduler'],[],4,
YARN-5516,Add REST API for supporting recurring reservations,YARN-5516 changing REST API of the reservation system to support periodicity. ,Sub-task,Resolved,Major,Fixed,2016-08-11T22:45:53.341+0000,2017-10-27T03:42:11.478+0000,Sean Po,Sangeetha Abdu Jyothi,['resourcemanager'],[],20,YARN-5326
YARN-5505,Create an agent-less docker provider in the native-services framework,The Slider AM has a pluggable portion called a provider. Currently the only provider implementation is the agent provider which contains the bulk of the agent-related Java code. We can implement a docker provider that does not use the agent and gets information it needs directly from the NM.,Sub-task,Resolved,Major,Fixed,2016-08-10T19:32:25.687+0000,2018-05-16T19:58:08.841+0000,Billie Rinaldi,Billie Rinaldi,[],['Docker'],7,YARN-5079
YARN-5457,Refactor DistributedScheduling framework to pull out common functionality,"Opening this JIRA to track the some refactoring missed in YARN-5113:

",Sub-task,Resolved,Major,Fixed,2016-07-31T19:13:19.887+0000,2017-11-13T22:49:11.046+0000,Arun Suresh,Arun Suresh,['resourcemanager'],[],16,YARN-5220
YARN-5501,Container Pooling in YARN,"This JIRA proposes a method for reducing the container launch latency in YARN. It introduces a notion of pooling *Unattached Pre-Initialized Containers*.

Proposal in brief:
* Have a *Pre-Initialized Container Factory* service within the NM to create these unattached containers.
* The NM would then advertise these containers as special resource types (this should be possible via YARN-3926).
* When a start container request is received by the node manager for launching a container requesting this specific type of resource, it will take one of these unattached pre-initialized containers from the pool, and use it to service the container request.
* Once the request is complete, the pre-initialized container would be released and ready to serve another request.

This capability would help reduce container launch latencies and thereby allow for development of more interactive applications on YARN.",Improvement,Open,Major,,2016-08-09T23:46:13.033+0000,2017-02-23T03:19:15.851+0000,Hitesh Sharma,Arun Suresh,[],[],14,
